date,code,rate,base,start_date,end_date
2023-06-01,RUB,11.41718,CNY,2023-06-01,2023-06-30
2023-06-02,RUB,11.405046,CNY,2023-06-01,2023-06-30
2023-06-03,RUB,11.404166,CNY,2023-06-01,2023-06-30
2023-06-04,RUB,11.401992,CNY,2023-06-01,2023-06-30
2023-06-05,RUB,11.368476,CNY,2023-06-01,2023-06-30
2023-06-06,RUB,11.425502,CNY,2023-06-01,2023-06-30
2023-06-07,RUB,11.438867,CNY,2023-06-01,2023-06-30
2023-06-08,RUB,11.532698,CNY,2023-06-01,2023-06-30
2023-06-09,RUB,11.603247,CNY,2023-06-01,2023-06-30
2023-06-10,RUB,11.601904,CNY,2023-06-01,2023-06-30
2023-06-11,RUB,11.603082,CNY,2023-06-01,2023-06-30
2023-06-12,RUB,11.725821,CNY,2023-06-01,2023-06-30
2023-06-13,RUB,11.711231,CNY,2023-06-01,2023-06-30
2023-06-14,RUB,11.725184,CNY,2023-06-01,2023-06-30
2023-06-15,RUB,11.720783,CNY,2023-06-01,2023-06-30
2023-06-16,RUB,11.770864,CNY,2023-06-01,2023-06-30
2023-06-17,RUB,11.770805,CNY,2023-06-01,2023-06-30
2023-06-18,RUB,11.715358,CNY,2023-06-01,2023-06-30
2023-06-19,RUB,11.735699,CNY,2023-06-01,2023-06-30
2023-06-20,RUB,11.800968,CNY,2023-06-01,2023-06-30
2023-06-21,RUB,11.735954,CNY,2023-06-01,2023-06-30
2023-06-22,RUB,11.278116,CNY,2023-06-01,2023-06-30
2023-06-23,RUB,11.782678,CNY,2023-06-01,2023-06-30
2023-06-24,RUB,11.782346,CNY,2023-06-01,2023-06-30
2023-06-25,RUB,11.733595,CNY,2023-06-01,2023-06-30
2023-06-26,RUB,11.659231,CNY,2023-06-01,2023-06-30
2023-06-27,RUB,11.824384,CNY,2023-06-01,2023-06-30
2023-06-28,RUB,11.867646,CNY,2023-06-01,2023-06-30
2023-06-29,RUB,11.977834,CNY,2023-06-01,2023-06-30
2023-06-30,RUB,12.245655,CNY,2023-06-01,2023-06-30
