date,code,rate,base,start_date,end_date
2023-06-01,RUB,87.17187,EUR,2023-06-01,2023-06-30
2023-06-02,RUB,86.51849,EUR,2023-06-01,2023-06-30
2023-06-03,RUB,86.481161,EUR,2023-06-01,2023-06-30
2023-06-04,RUB,86.427659,EUR,2023-06-01,2023-06-30
2023-06-05,RUB,86.496161,EUR,2023-06-01,2023-06-30
2023-06-06,RUB,86.932115,EUR,2023-06-01,2023-06-30
2023-06-07,RUB,87.200361,EUR,2023-06-01,2023-06-30
2023-06-08,RUB,88.433228,EUR,2023-06-01,2023-06-30
2023-06-09,RUB,88.891168,EUR,2023-06-01,2023-06-30
2023-06-10,RUB,88.935698,EUR,2023-06-01,2023-06-30
2023-06-11,RUB,88.822502,EUR,2023-06-01,2023-06-30
2023-06-12,RUB,90.170535,EUR,2023-06-01,2023-06-30
2023-06-13,RUB,90.575807,EUR,2023-06-01,2023-06-30
2023-06-14,RUB,90.938401,EUR,2023-06-01,2023-06-30
2023-06-15,RUB,91.331185,EUR,2023-06-01,2023-06-30
2023-06-16,RUB,91.853406,EUR,2023-06-01,2023-06-30
2023-06-17,RUB,91.848094,EUR,2023-06-01,2023-06-30
2023-06-18,RUB,91.282365,EUR,2023-06-01,2023-06-30
2023-06-19,RUB,91.782158,EUR,2023-06-01,2023-06-30
2023-06-20,RUB,92.511396,EUR,2023-06-01,2023-06-30
2023-06-21,RUB,92.59719,EUR,2023-06-01,2023-06-30
2023-06-22,RUB,88.611614,EUR,2023-06-01,2023-06-30
2023-06-23,RUB,92.311432,EUR,2023-06-01,2023-06-30
2023-06-24,RUB,92.312694,EUR,2023-06-01,2023-06-30
2023-06-25,RUB,91.865131,EUR,2023-06-01,2023-06-30
2023-06-26,RUB,92.036831,EUR,2023-06-01,2023-06-30
2023-06-27,RUB,93.487616,EUR,2023-06-01,2023-06-30
2023-06-28,RUB,93.760925,EUR,2023-06-01,2023-06-30
2023-06-29,RUB,94.347103,EUR,2023-06-01,2023-06-30
2023-06-30,RUB,96.904722,EUR,2023-06-01,2023-06-30
