date,code,rate,base,start_date,end_date
2023-06-01,RUB,87.205606,GBR,2023-06-01,2023-06-30
2023-06-02,RUB,86.565816,GBR,2023-06-01,2023-06-30
2023-06-03,RUB,86.56548,GBR,2023-06-01,2023-06-30
2023-06-04,RUB,86.457304,GBR,2023-06-01,2023-06-30
2023-06-05,RUB,86.554719,GBR,2023-06-01,2023-06-30
2023-06-06,RUB,87.012788,GBR,2023-06-01,2023-06-30
2023-06-07,RUB,87.27265,GBR,2023-06-01,2023-06-30
2023-06-08,RUB,88.463737,GBR,2023-06-01,2023-06-30
2023-06-09,RUB,88.921924,GBR,2023-06-01,2023-06-30
2023-06-10,RUB,88.945125,GBR,2023-06-01,2023-06-30
2023-06-11,RUB,88.883434,GBR,2023-06-01,2023-06-30
2023-06-12,RUB,90.180814,GBR,2023-06-01,2023-06-30
2023-06-13,RUB,90.606875,GBR,2023-06-01,2023-06-30
2023-06-14,RUB,90.991145,GBR,2023-06-01,2023-06-30
2023-06-15,RUB,91.394204,GBR,2023-06-01,2023-06-30
2023-06-16,RUB,91.917336,GBR,2023-06-01,2023-06-30
2023-06-17,RUB,91.917899,GBR,2023-06-01,2023-06-30
2023-06-18,RUB,91.360594,GBR,2023-06-01,2023-06-30
2023-06-19,RUB,91.822726,GBR,2023-06-01,2023-06-30
2023-06-20,RUB,92.544608,GBR,2023-06-01,2023-06-30
2023-06-21,RUB,92.616913,GBR,2023-06-01,2023-06-30
2023-06-22,RUB,88.694554,GBR,2023-06-01,2023-06-30
2023-06-23,RUB,92.356388,GBR,2023-06-01,2023-06-30
2023-06-24,RUB,92.356912,GBR,2023-06-01,2023-06-30
2023-06-25,RUB,91.888648,GBR,2023-06-01,2023-06-30
2023-06-26,RUB,92.077143,GBR,2023-06-01,2023-06-30
2023-06-27,RUB,93.548944,GBR,2023-06-01,2023-06-30
2023-06-28,RUB,93.843622,GBR,2023-06-01,2023-06-30
2023-06-29,RUB,94.401919,GBR,2023-06-01,2023-06-30
2023-06-30,RUB,96.966741,GBR,2023-06-01,2023-06-30
