date,code,rate,base,start_date,end_date
2023-06-01,RUB,0.583849,JPY,2023-06-01,2023-06-30
2023-06-02,RUB,0.577373,JPY,2023-06-01,2023-06-30
2023-06-03,RUB,0.577328,JPY,2023-06-01,2023-06-30
2023-06-04,RUB,0.576807,JPY,2023-06-01,2023-06-30
2023-06-05,RUB,0.579324,JPY,2023-06-01,2023-06-30
2023-06-06,RUB,0.582808,JPY,2023-06-01,2023-06-30
2023-06-07,RUB,0.582561,JPY,2023-06-01,2023-06-30
2023-06-08,RUB,0.590698,JPY,2023-06-01,2023-06-30
2023-06-09,RUB,0.593419,JPY,2023-06-01,2023-06-30
2023-06-10,RUB,0.59337,JPY,2023-06-01,2023-06-30
2023-06-11,RUB,0.593299,JPY,2023-06-01,2023-06-30
2023-06-12,RUB,0.60047,JPY,2023-06-01,2023-06-30
2023-06-13,RUB,0.59893,JPY,2023-06-01,2023-06-30
2023-06-14,RUB,0.599835,JPY,2023-06-01,2023-06-30
2023-06-15,RUB,0.595647,JPY,2023-06-01,2023-06-30
2023-06-16,RUB,0.591479,JPY,2023-06-01,2023-06-30
2023-06-17,RUB,0.591483,JPY,2023-06-01,2023-06-30
2023-06-18,RUB,0.58851,JPY,2023-06-01,2023-06-30
2023-06-19,RUB,0.59221,JPY,2023-06-01,2023-06-30
2023-06-20,RUB,0.599585,JPY,2023-06-01,2023-06-30
2023-06-21,RUB,0.594675,JPY,2023-06-01,2023-06-30
2023-06-22,RUB,0.565964,JPY,2023-06-01,2023-06-30
2023-06-23,RUB,0.588766,JPY,2023-06-01,2023-06-30
2023-06-24,RUB,0.588768,JPY,2023-06-01,2023-06-30
2023-06-25,RUB,0.587243,JPY,2023-06-01,2023-06-30
2023-06-26,RUB,0.588456,JPY,2023-06-01,2023-06-30
2023-06-27,RUB,0.593017,JPY,2023-06-01,2023-06-30
2023-06-28,RUB,0.595436,JPY,2023-06-01,2023-06-30
2023-06-29,RUB,0.600164,JPY,2023-06-01,2023-06-30
2023-06-30,RUB,0.615416,JPY,2023-06-01,2023-06-30
